symbol,days,start,end
OHI,7906,1992-08-10,2023-12-29
OMC,11040,1980-03-18,2023-12-29
ON,5953,2000-05-03,2023-12-29
OMF,2568,2013-10-17,2023-12-29
OKE,10902,1980-10-02,2023-12-29
ORCL,9527,1986-03-13,2023-12-29
OGN,661,2021-05-17,2023-12-29
OSK,9638,1985-10-03,2023-12-29
OTIS,952,2020-03-20,2023-12-29
OVV,5471,2002-04-09,2023-12-29
OC,4318,2006-11-02,2023-12-29
PCAR,11040,1980-03-18,2023-12-29
PKG,6018,2000-01-31,2023-12-29
PLTR,817,2020-10-01,2023-12-29
PANW,2879,2012-07-23,2023-12-29
PARAA,1023,2019-12-06,2023-12-29
PARA,4547,2005-12-06,2023-12-29
PK,1758,2017-01-05,2023-12-29
PH,11040,1980-03-18,2023-12-29
PAYX,10168,1983-08-29,2023-12-29
PAYC,2444,2014-04-16,2023-12-29
PYCR,615,2021-07-22,2023-12-29
PCTY,2463,2014-03-20,2023-12-29
PYPL,2137,2015-07-07,2023-12-29
PEGA,6908,1996-07-22,2023-12-29
PTON,1072,2019-09-27,2023-12-29
PENN,7451,1994-05-27,2023-12-29
PAG,6841,1996-10-24,2023-12-29
PNR,12776,1973-05-04,2023-12-29
PEN,2084,2015-09-21,2023-12-29
PEP,13006,1972-06-02,2023-12-29
PFGC,2076,2015-10-01,2023-12-29
PRGO,8068,1991-12-18,2023-12-29
WOOF,744,2021-01-15,2023-12-29
PFE,13006,1972-06-02,2023-12-29
PCG,13006,1972-06-02,2023-12-29
PM,3975,2008-03-18,2023-12-29
PSX,2948,2012-04-13,2023-12-29
PHIN,124,2023-07-06,2023-12-29
PPC,9071,1987-12-31,2023-12-29
PNFP,5875,2000-08-23,2023-12-29
PNW,12826,1973-02-22,2023-12-29
PINS,1183,2019-04-22,2023-12-29
PXD,6641,1997-08-11,2023-12-29
PLNT,2114,2015-08-07,2023-12-29
PLTK,742,2021-01-20,2023-12-29
PLUG,6080,1999-11-01,2023-12-29
PNC,12133,1975-11-18,2023-12-29
PII,9144,1987-09-17,2023-12-29
POOL,7101,1995-10-16,2023-12-29
BPOP,11040,1980-03-18,2023-12-29
POST,3000,2012-01-30,2023-12-29
PPG,11040,1980-03-18,2023-12-29
PPL,11040,1980-03-18,2023-12-29
PINC,2582,2013-09-27,2023-12-29
TROW,9513,1986-04-03,2023-12-29
PRI,3460,2010-04-05,2023-12-29
PFG,5584,2001-10-24,2023-12-29
PCOR,657,2021-05-21,2023-12-29
PG,15605,1962-01-03,2023-12-29
PGR,11040,1980-03-18,2023-12-29
PLD,6567,1997-11-24,2023-12-29
PB,6322,1998-11-13,2023-12-29
PRU,5548,2001-12-14,2023-12-29
PTC,8579,1989-12-11,2023-12-29
PSA,10869,1980-11-19,2023-12-29
PEG,11092,1980-01-03,2023-12-29
PHM,11040,1980-03-18,2023-12-29
PSTG,2072,2015-10-07,2023-12-29
PVH,11040,1980-03-18,2023-12-29
QGEN,6922,1996-07-01,2023-12-29
QRVO,2263,2015-01-05,2023-12-29
QCOM,8070,1991-12-16,2023-12-29
PWR,6512,1998-02-13,2023-12-29
QS,848,2020-08-18,2023-12-29
DGX,6803,1996-12-18,2023-12-29
QDEL,8289,1991-02-04,2023-12-29
RCM,1709,2017-03-17,2023-12-29
RL,6681,1997-06-13,2023-12-29
RRC,10974,1980-06-20,2023-12-29
RJF,10207,1983-07-05,2023-12-29
RYN,7518,1994-02-18,2023-12-29
RTX,15542,1962-04-03,2023-12-29
RBC,4628,2005-08-11,2023-12-29
O,7351,1994-10-19,2023-12-29
RRX,11040,1980-03-18,2023-12-29
REG,7595,1993-11-01,2023-12-29
REGN,8249,1991-04-03,2023-12-29
RF,11040,1980-03-18,2023-12-29
RGA,3850,2008-09-15,2023-12-29
